middle,No,9A,Hope,1945,Letter.docx,61.45,31.95,78.93,97.3,58.22,26.77,7.04,6.1,8.92,3.76,1.41,4.69,21.6,17.84,2.82,0.47,18.78
middle,No,8A,Moore,1974,Letter.docx,92.84,87.04,60.25,99,45.11,16.54,7.52,12.03,4.51,0,0,7.52,7.52,19.55,9.77,0,16.54
middle,No,83A,Armstrong,1994,Letter.docx,59.19,46.55,26.55,74,50.86,31.89,6.9,3.45,11.21,2.59,1.72,6.03,13.8,11.21,4.31,0,15.52
middle,No,7A,Crawford,1967,Letter.docx,50.82,96.44,58.82,99,54.26,24.47,9.57,17.02,8.51,2.13,2.13,5.32,14.9,14.89,3.18,0,17.02
middle,No,78A,Hitchcock,1948,Letter.docx,76.87,75.78,53.37,35.14,52.15,27.96,3.76,11.29,11.29,2.69,1.08,7.53,12.37,15.59,3.23,0.54,12.9
middle,No,75A,Olivier,1959,Letter.docx,29.6,78.82,43.37,99,55,30,13,13,11,5,0,3,12,11,1,1,13
middle,No,62A,Rogers,1972,Letter.docx,62.56,99,45.93,96.2,52.91,29.62,6.8,18.93,9.71,2.91,1.46,10.19,16.5,15.53,4.37,0,12.14
middle,No,4A,Dole,1979,Speech.docx,82.77,89.1,23.11,84.35,51.66,26.86,5.85,13.9,9.32,0.63,1.58,8.53,14.69,16.27,7.11,0,17.85
middle,No,49A,Simpson,1950,Letter.docx,37.39,97.95,16.48,99,56.82,28.8,12.12,15.15,8.33,0.76,1.52,10.61,17.43,12.12,7.58,0,10.61
middle,No,3A,Autry,1980,Letter.docx,50.46,89.8,34.72,99,54.24,33.03,10.17,13.56,11.86,1.69,0,9.32,16.95,11.86,7.63,0,11.86
middle,No,32A,Douglas,1959,Letter.docx,16.9,50,66.04,93.61,59.13,30.44,7.83,11.3,13.91,2.61,1.74,6.96,21.74,10.43,4.35,2.61,19.13
middle,No,30A,Havilland,1977,Letter.docx,60.8,38.08,51.41,99,43.94,25.77,10.61,4.55,12.12,0,1.52,9.09,9.1,13.64,6.06,1.52,16.67
middle,No,2A,Wooden,1989, Letter.docx,70.2,67.97,29.43,99,53.27,28.97,11.21,13.08,11.21,0,0.93,6.54,14.01,9.35,1.87,0,10.28
